cj,gg,name,price,price2,xq
南通薄荷厂有限公司,3g,白猫清凉油,,≈￥0.97,效期：2022年04月
辰欣佛都药业(汶上)有限公司,2g*0.5%,红霉素眼膏,,≈￥2.85,效期：2024年12月
浙江鼎泰药业股份有限公司,7g,复方酮康唑软膏（来生元）,,≈￥2.09,效期：2022年02月
广西金页制药有限公司,100片,三黄片,,≈￥2.47,效期：2021年10月
哈药集团制药总厂,0.25g*50粒,阿莫西林胶囊,,≈￥4.46,效期：2022年10月
四川科伦药业股份有限公司,0.1g*12片,乙酰螺旋霉素片,,≈￥0.84,效期：2021年08月
江中药业股份有限公司,0.5g*36片/盒,健胃消食片(小儿江中),,≈￥5.88,效期：2021年08月
北京诺华制药有限公司,80mg*7粒,F缬沙坦胶囊（代文）,,≈￥30.12,效期：2022年12月
江西铜鼓仁和制药有限公司,10粒,复方氨酚烷胺胶囊(仁和可立克),,≈￥5.49,效期：2022年03月
吉林佳泰制药有限公司,12片*2板,痔速宁片,,≈￥2.83,效期：2022年12月
桂林三金药业股份有限公司,1.8g*16片,西瓜霜清咽含片,,≈￥4.46,效期：2021年10月
成都天台山制药有限公司,20mg*14粒,奥美拉唑肠溶胶囊,,≈￥1.38,效期：2021年04月
广西纯正堂制药有限公司,100片,陈香露白露片,,≈￥2.95,效期：2021年10月
新乡华青药业有限公司,2g,盐酸金霉素眼膏,,≈￥3.47,效期：2021年10月
湖南科伦制药有限公司,0.25g*10粒/板*5板/盒,阿莫西林胶囊,,≈￥3.8,效期：2021年12月
济南如意堂医药科技有限公司,7cm*10cm*3贴*2袋,腰腿冷敷贴(桂龙膏药),,≈￥8.55,效期：2022年11月
深圳市海滨制药有限公司,0.15g*7片,厄贝沙坦片(苏适),,≈￥7.98,效期：2021年04月
扬州市三药制药有限公司,25ml*4瓶,布洛芬混悬液(恬倩),,≈￥9.17,效期：2022年07月
北京同仁堂制药有限公司,200丸,皮肤病血毒丸,,≈￥15.58,效期：2022年11月
万特制药（海南）有限公司,10mg*6片,氯雷他定片(百为乐),,≈￥1.24,效期：2022年10月
湖北金龙药业有限公司,200片,复方丹参片,,≈￥7.22,效期：2021年05月
广东彼迪药业有限公司,0.5mg*20片,秋水仙碱片,,≈￥3.37,效期：2021年12月
四川逢春制药有限公司,10g*20袋,藿香正气颗粒,,≈￥5.7,效期：2021年06月
山西云鹏制药有限公司,2.5mg*100片,格列本脲片,,≈￥1.36,效期：2022年10月
广东众生药业股份有限公司,0.5g*30粒,复方血栓通胶囊,,≈￥19.76,效期：2022年05月
国药集团汕头金石制药有限公司,25mg*100片,卡托普利片,,≈￥2.38,效期：2021年12月
广西纯正堂制药有限公司,5g*10袋,愈酚喷托异丙嗪颗粒(伤风止咳颗粒),,≈￥3.61,效期：2021年05月
上海中华药业南通有限公司,12ml /瓶/盒,风油精,,≈￥3.85,效期：2022年06月
吉林省华侨药业集团有限公司,9克/袋*9袋/盒,肤痒颗粒,,≈￥6.18,效期：2023年02月
上海运佳黄浦制药有限公司,100ml,炉甘石洗剂,,≈￥6.27,效期：2022年02月
广西梧州制药（集团）股份有限公司,10ml*6支,蛇胆川贝液,,≈￥4.47,效期：2020年12月
山东鑫齐药业有限公司,0.5g*16片,铝碳酸镁咀嚼片,,≈￥3.04,效期：2021年11月
卫材（辽宁）制药有限公司,60mg*10片/板*1板/盒,洛索洛芬钠片(安普洛),,≈￥5.69,效期：2021年10月
广州白云山医药集团股份有限公司白云山何济公制药厂,100包,阿咖酚散-白云山,,≈￥9.49,效期：2021年09月
浙江京新药业股份有限公司,0.1g*6片,盐酸左氧氟沙星片,,≈￥0.95,效期：2022年03月
广西梧州制药（集团）股份有限公司,10ml*6支,蛇胆川贝液,,≈￥4.47,效期：2020年12月
安徽省双科药业有限公司,5ml,苄达赖氨酸滴眼液,,≈￥8.08,效期：2021年11月
江中药业股份有限公司,0.44g*12片*4板,复方草珊瑚含片,,≈￥4.74,效期：2021年09月
山西太原药业有限公司,100片,去痛片,,≈￥7.74,效期：2021年09月
广西泰诺制药有限公司,10g*10袋,感冒咳嗽颗粒,,≈￥3.28,效期：2021年10月
遂成药业股份有限公司,0.75mg*100片,醋酸地塞米松片,,≈￥1.24,效期：2022年05月
广西慧宝源医药科技有限公司,5ml*2支/盒,牙痛药水,,≈￥8.08,效期：2021年04月
西安利君制药有限责任公司,0.125g*24片,琥乙红霉素片(利君沙),,≈￥7.32,效期：2021年04月
国药集团致君（深圳）制药有限公司,0.125g*12粒,头孢呋辛酯胶囊(达力新),,≈￥4.17,效期：2022年10月
山西云鹏制药有限公司,20mg*30片,硝苯地平缓释片（II),,≈￥5.59,效期：2022年01月
石药集团中诺药业（石家庄）有限公司,0.25g*50粒,阿莫西林胶囊,,≈￥4.37,效期：2021年07月
北大医药股份有限公司,0.1g*12粒,盐酸洛美沙星胶囊(奇洛先),,≈￥4.94,效期：2022年09月
浙江亚太药业股份有限公司,0.2g*24片,氯唑沙宗片,,≈￥2.74,效期：2022年08月
广西金页制药有限公司,100片,复方穿心莲片,,≈￥1.14,效期：2021年08月
中美天津史克制药有限公司,5g,莫匹罗星软膏(百多邦),,≈￥12.91,效期：2022年02月
天津天药药业股份有限公司,0.75mg*100片,醋酸地塞米松片,,≈￥2.57,效期：2021年03月
广西正堂药业有限责任公司,100ml,川贝清肺糖浆,,≈￥3.61,效期：2021年04月
浙江亚太药业股份有限公司,0.125g*10片*5板,头孢氨苄胶囊,,≈￥3.8,效期：2021年11月
济宁光明制药有限公司,8ml：8mg(0.1%)/瓶/盒,盐酸萘甲唑啉滴鼻液,,≈￥3.9,效期：2021年03月
山东司邦得制药有限公司,0.5g*30粒/盒,盐酸二甲双胍缓释片,,≈￥5.23,效期：2022年05月
广东省惠州市中药厂有限公司,50片,清热散结片,,≈￥2.76,效期：2021年12月
广东粤威制药有限公司,6片,麝香祛风湿膏,,≈￥3.71,效期：2021年05月
广西正堂药业有限责任公司,100ml,川贝清肺糖浆,,≈￥3.71,效期：2021年04月
广东新峰药业股份有限公司,100片,千柏鼻炎片,,≈￥6.65,效期：2022年11月
