cj,gg,name,price,price2,xq
江中药业股份有限公司,0.5g*36片/盒,健胃消食片(小儿江中), ￥5.99,,效期：2021年08月
云南白药集团无锡药业有限公司委托江苏南方卫材医药股份有限公司,100片,云南白药创可贴, ￥15.85,,效期：2023年01月
四川天府康达药业集团府庆制药有限公司,10ml*10支,藿香正气水, ￥2,,效期：2022年01月
苏州西克罗制药有限公司（原礼来苏州制药有限公司）,0.125g/袋*6袋/盒,头孢克洛干混悬剂(希刻劳), ￥18.5,,效期：2021年08月
广州白云山医药集团股份有限公司白云山何济公制药厂,100包,阿咖酚散-白云山, ￥10.6,,效期：2021年09月
桂林三金药业股份有限公司,0.29g*54片,三金片, ￥19.79,,效期：2021年10月
天津力生制药股份有限公司,2.5mg*30片,吲达帕胺片(寿比山/糖衣片), ￥17.35,,效期：2022年03月
成都地奥制药集团有限公司,0.1g*10粒*2板,地奥心血康胶囊, ￥11.3,,效期：2021年11月
北京澳特舒尔保健品开发有限公司出品,62.5g(2.5g*20袋+12.5g),碧生源常菁茶, ￥62.8,,效期：2021年11月
广州花城药业有限公司,0.24g*100片,猴耳环消炎片（薄膜衣）, ￥8.99,,效期：2021年08月
洛阳君山制药有限公司,0.5g*24粒,银杏叶软胶囊, ￥11,,效期：2021年08月
广东新峰药业股份有限公司,10g*9袋,感冒灵颗粒, ￥5,,效期：2022年04月
华北制药股份有限公司,10mg（1万单位）*12袋,硫酸庆大霉素颗粒(小儿利宝), ￥2.67,,效期：2022年01月
北京澳特舒尔保健品开发有限公司出品,62.5g(2.5g*20袋+12.5g),碧生源常润茶, ￥62.8,,效期：2021年08月
广西宝瑞坦制药有限公司,14g*14袋,复方感冒灵颗粒, ￥12,,效期：2021年11月
江苏苏中药业集团股份有限公司,5mg*8袋,氯雷他定颗粒(小希适敏), ￥6.5,,效期：2022年05月
浙江中法制药有限公司,150ml,复方苦参洗剂(（不带冲）), ￥5.5,,效期：2021年12月
哈药集团三精制药有限公司,10ml*12支,葡萄糖酸锌口服液, ￥20.8,,效期：2021年08月
上海运佳黄浦制药有限公司,100ml,炉甘石洗剂, ￥6.5,,效期：2022年02月
黑龙江中桂制药有限公司,10ml*15支,盐酸氨溴索口服溶液(瑞田), ￥6.1,,效期：2021年07月
西南药业股份有限公司,0.25g*10粒*5板,阿莫西林胶囊, ￥2.99,,效期：2021年12月
贵州联盛药业有限公司,2.5mgx10片/板x2板/盒,苯磺酸左旋氨氯地平片(福斯多), ￥12,,效期：2022年06月
潍坊中狮制药有限公司,0.4*60/瓶/盒,血府逐瘀片（薄膜衣）, ￥24.5,,效期：2022年03月
甘南佛阁藏药有限公司,18丸,二十五味肺病丸, ￥18.5,,效期：2023年09月
湖南湘泉药业股份有限公司,12*2,肠康片, ￥4.8,,效期：2022年02月
江苏恒瑞医药股份有限公司,0.3g*10粒,加巴喷丁胶囊(派汀), ￥12.5,,效期：2021年11月
上海中华药业南通有限公司,10g,清凉油, ￥2.45,,效期：2022年06月
吉林省吴太感康药业有限公司,12片,复方氨酚烷胺片(感康), ￥10.99,,效期：2022年09月
贵州科辉制药有限责任公司,5g*12袋,小儿氨酚黄那敏颗粒(水果味), ￥4.2,,效期：2022年01月
苏州太湖美药业有限公司,8ml,珍珠明目滴眼液, ￥1.85,,效期：2021年07月
济南胜胜药业有限公司,1+2片/袋*2袋/盒,医用退热贴(小葵花), ￥8.5,,效期：2022年09月
济南康友消毒用品厂,0.2g*24片,高锰酸钾消毒片, ￥1.6,,效期：2022年02月
辉瑞制药有限公司,5mg*7片,苯磺酸氨氯地平片(络活喜), ￥23.2,,效期：2024年05月
太极集团重庆桐君阁药厂有限公司,10ml*6支,鼻窦炎口服液, ￥16,,效期：2022年12月
昆山龙灯瑞迪制药有限公司,50mg*10片/盒,苯溴马隆片(立加利仙), ￥24.1,,效期：2023年10月
华润三九医药股份有限公司委托广东华润顺峰药业有限公司,20g/支,复方醋酸地塞米松乳膏(999皮炎平), ￥7.19,,效期：2022年08月
山东步长制药股份有限公司,9g*9袋,稳心颗粒, ￥23.4,,效期：2021年07月
山东润华药业有限公司,60ml/瓶/盒,小儿双金清热口服液(润华), ￥13,,效期：2021年03月
远大医药（中国）有限公司,0.5g*100片,安乃近片, ￥4.1,,效期：2022年12月
苏州太湖美药业有限公司,10ml,珍珠明目滴眼液, ￥3,,效期：2022年01月
浙江海力生制药有限公司,0.2mg*10粒/盒,盐酸坦索罗辛缓释胶囊(齐索), ￥17.8,,效期：2021年08月
吉林省辉南长龙生化药业股份有限公司,0.22g*18粒,海昆肾喜胶囊, ￥61,,效期：2021年11月
井田国际医药厂股份有限公司,0.25ug*20粒/盒,骨化三醇胶丸(海尼威), ￥52,,效期：2021年10月
云南白药集团股份有限公司,50g：60g,云南白药气雾剂, ￥28.28,,效期：2022年10月
德州德药制药有限公司,10mg*72片/瓶/盒,硝苯地平缓释片（I）(得高宁), ￥18.19,,效期：2021年04月
广东彼迪药业有限公司,0.5mg*20片,秋水仙碱片, ￥3.35,,效期：2021年12月
佛山冰加退热贴有限公司（原佛山兵兵退热贴有限公司）,120mm*50mm*1片/袋*4袋,医用退热贴（护脑型）, ￥8.2,,效期：2022年11月
西施兰（南阳）药业股份有限公司,10ml：4g,乌洛托品溶液(西施兰), ￥7.1,,效期：2022年01月
回音必集团安徽制药有限公司,180ml,强力枇杷露, ￥7,,效期：2021年11月
莎普爱思强身药业有限公司,10ml/支*10支/盒,复方高山红景天口服液, ￥22,,效期：2023年01月
云南云河药业股份有限公司,12粒*2板,龙血竭胶囊, ￥6.1,,效期：2024年07月
安徽东盛友邦制药有限公司,10ml*6支,抗病毒口服液, ￥3.3,,效期：2022年01月
成都地奥集团天府药业股份有限公司,0.1g*20片/板*2板/盒,地榆升白片, ￥23.7,,效期：2021年04月
上海玉瑞生物科技（安阳）药业有限公司,10mg*100片,谷维素片, ￥8.99,,效期：2021年11月
中美上海施贵宝制药有限公司,0.5g*10片*2板/盒,F盐酸二甲双胍片(格华止), ￥25,,效期：2022年12月
山东新华制药股份有限公司,10mg*6片/板*3板/盒,雷贝拉唑钠肠溶片(舒泰得), ￥26,,效期：2022年02月
广东嘉应制药股份有限公司,0.25g*100片,消炎利胆片, ￥4.75,,效期：2022年09月
广州诺金制药有限公司,0.4g*30片/盒,百合固金片, ￥9.5,,效期：2022年04月
福建太平洋制药有限公司,5ml  (滚珠型),风油精, ￥5.5,,效期：2021年12月
新乡华青药业有限公司,2g,盐酸金霉素眼膏, ￥3.7,,效期：2021年10月
哈尔滨市龙生北药生物工程股份有限公司,0.6克/片*24片,蒲地蓝消炎片, ￥3.25,,效期：2022年06月
UCB Pharma S.A.,0.5g*30片,左乙拉西坦片(开浦兰), ￥193.5,,效期：2022年06月
江苏亚邦爱普森药业有限公司,2mg*100片,硫酸沙丁胺醇片(舒喘灵), ￥5.99,,效期：2021年10月
通化万通药业股份有限公司,0.32g*20片,感通片, ￥11.2,,效期：2021年09月
广州诺金制药有限公司,2g*10袋,小儿咳喘灵颗粒, ￥3.8,,效期：2021年11月
澳诺（中国）制药有限公司,10ml*24支,葡萄糖酸钙锌口服液(锌钙特), ￥33,,效期：2021年12月
济南如意堂医药科技有限公司,7cm*10cm*3贴*2袋,关节冷敷贴(桂龙膏药), ￥9.5,,效期：2022年11月
河南省济源市济世药业有限公司,480丸,六味地黄丸(浓缩丸), ￥13.5,,效期：2024年11月
辽宁上药好护士药业（集团）有限公司,0.5g*48片,尪痹片, ￥30.5,,效期：2022年10月
四川同人泰药业股份有限公司,10g*20袋,藿香正气颗粒, ￥6.5,,效期：2022年11月
乐泰药业有限公司,3ml*2瓶,复方聚维酮碘搽剂(亮甲), ￥64,,效期：2021年11月
四川恩威制药有限公司,160ml,洁尔阴洗液, ￥11.99,,效期：2022年07月
好大夫制药有限公司,24片/盒（糖衣片）,复方蛤青片, ￥9.4,,效期：2023年01月
北京天衡药物研究院南阳天衡制药厂,5mg*6片,盐酸左西替利嗪片, ￥3.8,,效期：2021年12月
广州白云山光华制药股份有限公司,12片,苯巴比妥东莨菪碱片(晕动片), ￥5.1,,效期：2021年10月
广州诺金制药有限公司,7g*10袋,小儿七星茶颗粒, ￥6,,效期：2021年11月
鹤壁市中药有限公司,0.42g*24片,复方仙鹤草肠炎片(薄膜衣片), ￥12.5,,效期：2021年12月
上海中华药业南通有限公司,12ml /瓶/盒,风油精, ￥3.95,,效期：2022年06月
杭州胡庆余堂药业有限公司,0.36g*60片,胃复春片, ￥18.5,,效期：2021年11月
石药集团恩必普药业有限公司,0.1g*24粒,丁苯酞软胶囊(恩必普), ￥204,,效期：2022年11月
江西康恩贝中药有限公司,12片*2板,肠炎宁片(康恩贝), ￥16.59,,效期：2021年09月
成都恒瑞制药有限公司,10mg*6片,盐酸西替利嗪片(比特力), ￥2.35,,效期：2022年01月
江西鑫源欣实业有限公司,20ml*6支/盒,50%葡萄糖饮料, ￥4,,效期：2021年09月
西南药业股份有限公司,10片,复方对乙酰氨基酚片（II）(散列通), ￥6.25,,效期：2024年03月
江西水滴药业有限公司,30ml,婴儿紫草油, ￥4,,效期：2022年03月
陕西仁康药业有限公司,360ml,隐形眼镜护理液(水氧e清), ￥10.2,,效期：2022年03月
