cj,gg,name,price,price2,xq
江中药业股份有限公司,0.8g*32片/盒,健胃消食片(成人江中),￥6.17,≈￥5.8,效期：2021年08月
马应龙药业集团股份有限公司,10g,马应龙麝香痔疮膏,￥7.29,≈￥6.85,效期：2022年06月
桂林三金药业股份有限公司,0.29g*54片,三金片,￥20.50,≈￥19.27,效期：2021年10月
广州花城药业有限公司,0.24g*100片,猴耳环消炎片（薄膜衣）,￥8.99,≈￥8.45,效期：2021年08月
华润三九医药股份有限公司委托惠州市九惠制药股份有限公司,10g*9袋,感冒灵颗粒,￥10.19,≈￥9.58,效期：2022年02月
天士力医药集团股份有限公司,27mg*180丸,复方丹参滴丸,￥23.30,≈￥21.9,效期：2022年08月
广东一片天医药集团制药有限公司,30片,咳特灵胶囊,￥3.99,≈￥3.75,效期：2021年10月
上海医药集团青岛国风药业股份有限公司,0.15g*10粒,多糖铁复合物胶囊,￥25.49,≈￥23.96,效期：2022年07月
德州德药制药有限公司,10mg*72片/瓶/盒,硝苯地平缓释片（I）(得高宁),￥18.80,≈￥17.67,效期：2021年04月
深圳太太药业有限公司,0.3mg*5片,醋酸地塞米松口腔贴片(意可贴),￥17.19,≈￥16.16,效期：2021年10月
天津中新药业集团股份有限公司第六中药厂,40mg*60丸*2瓶,速效救心丸,￥27.80,≈￥26.13,效期：2021年08月
洛阳君山制药有限公司,0.5g*24粒,银杏叶软胶囊,￥10.59,≈￥9.95,效期：2021年08月
拜耳医药保健有限公司,100mg*30片,阿司匹林肠溶片(拜阿斯),￥13.89,≈￥13.06,效期：2022年07月
马应龙药业集团股份有限公司,1.5g*6粒,马应龙麝香痔疮栓,￥10.59,≈￥9.95,效期：2021年09月
神威药业集团有限公司,6g*10袋,小儿清肺化痰颗粒,￥15.99,≈￥15.03,效期：2022年10月
远大医药（中国）有限公司,100片,去痛片,￥7.99,≈￥7.51,效期：2022年02月
吉林敖东延边药业股份有限公司,10ml*10支,安神补脑液,￥18.30,≈￥17.2,效期：2022年01月
四川省三星堆制药有限公司,30mg*100片/瓶/盒,复方黄连素片,￥5.59,≈￥5.25,效期：2021年09月
华润双鹤药业股份有限公司,10片/盒,复方利血平氨苯蝶啶片(降压0号),￥11,≈￥10.34,效期：2022年02月
山东鑫齐药业有限公司,5mg*14片,苯磺酸氨氯地平片,￥2.99,≈￥2.81,效期：2021年11月
阿斯利康制药有限公司委托阿斯利康药业（中国）有限公司,5mg*10片,非洛地平缓释片(波依定),￥28.80,≈￥27.07,效期：2022年10月
西安杨森制药有限公司,10mg*6片,氯雷他定片(息斯敏),￥18.79,≈￥17.66,效期：2024年02月
吉林天瑞生物科技有限公司,20ml*5支 （聚丙烯易折瓶）,葡萄糖饮品50%,￥4.19,≈￥3.94,效期：2022年01月
丽珠集团丽珠制药厂,8片,枸橼酸铋钾片/替硝唑片/克拉霉素片组合包装(丽珠维三联),￥22.89,≈￥21.52,效期：2021年06月
华润双鹤利民药业(济南)有限公司,0.15g*12片,厄贝沙坦分散片(豪降之),￥14,≈￥13.16,效期：2021年11月
广东一力集团制药股份有限公司,0.32g*100片,复方丹参片(薄膜衣片),￥5.99,≈￥5.63,效期：2022年04月
黑龙江葵花药业股份有限公司,0.4g*12s*2板,F胃康灵胶囊,￥14.50,≈￥13.63,效期：2022年09月
广州白云山光华制药股份有限公司,12片,苯巴比妥东莨菪碱片(晕动片),￥4.79,≈￥4.5,效期：2021年10月
澳诺（中国）制药有限公司,10ml*24支,葡萄糖酸钙锌口服液(锌钙特),￥32.70,≈￥30.74,效期：2021年12月
昆山龙灯瑞迪制药有限公司,50mg*10片/盒,苯溴马隆片(立加利仙),￥24,≈￥22.56,效期：2023年09月
江西铜鼓仁和制药有限公司,10袋,小儿氨酚烷胺颗粒(优卡丹),￥5.89,≈￥5.54,效期：2021年07月
四川华新制药有限公司,0.1g*10片,双氯芬酸钠缓释片(路林),￥3.19,≈￥3,效期：2022年12月
四川大冢制药有限公司,10mg*5片/盒,孟鲁司特钠片(白三平),￥27.60,≈￥25.94,效期：2022年01月
江苏恒瑞医药股份有限公司,0.15g*7片,厄贝沙坦片(吉加),￥5.30,≈￥4.98,效期：2022年01月
地奥集团成都药业股份有限公司,0.5g*100片,贝诺酯片(扑炎痛片),￥9.90,≈￥9.31,效期：2022年09月
阿斯利康制药有限公司,47.5mg*7片/盒,琥珀酸美托洛尔缓释片(倍他乐克),￥13.69,≈￥12.87,效期：2022年01月
杭州民生健康药业有限公司,60片,多维元素片（21）(21金维他),￥29.50,≈￥27.73,效期：2021年08月
北京嘉林药业股份有限公司,10mg*7片,阿托伐他汀钙片(阿乐),￥16.59,≈￥15.59,效期：2023年02月
昆山龙灯瑞迪制药有限公司,5mg*12片*2板/盒,尼麦角林片(乐喜林),￥17.80,≈￥16.73,效期：2022年12月
s.a.ALCON-COUVREUR n.v,5ml:0.3%,妥布霉素滴眼液(托百士),￥14,≈￥13.16,效期：2022年05月
杭州默沙东制药有限公司,4mg*5片,孟鲁司特钠咀嚼片(顺尔宁),￥27.50,≈￥25.85,效期：2021年08月
中美上海施贵宝制药有限公司,0.5g*10片*2板/盒,F盐酸二甲双胍片(格华止),￥24.89,≈￥23.4,效期：2022年12月
