cj,gg,name,price,price2,price3,xq
四川逢春制药有限公司,10g*20袋,藿香正气颗粒, ￥5.3,,,效期：2021年06月
悦康药业集团股份有限公司,20mg*14粒,奥美拉唑肠溶胶囊(立卫克), ￥0.99,,,效期：2021年12月
国药集团工业有限公司,2.5mg*15片*2板,吲达帕胺片, ￥3.55,,,效期：2023年01月
天士力医药集团股份有限公司,27mg*180丸,复方丹参滴丸, ￥22.99,,,效期：2022年08月
漳州水仙药业股份有限公司,3ml,风油精, ￥1.99,,,效期：2023年01月
上海中华药业南通有限公司,3毫升,风油精, ￥1.7,,,效期：2022年02月
四川省仁德制药有限公司,4g*10袋,银黄颗粒, ￥2.49,,,效期：2022年02月
济南如意堂医药科技有限公司,7cm*10cm*3贴*2袋,颈椎冷敷贴(桂龙膏药), ￥9.7,,,效期：2022年12月
华润三九医药股份有限公司委托惠州市九惠制药股份有限公司,10g*9袋,感冒灵颗粒, ￥9.99,,,效期：2022年02月
山东齐都药业有限公司,0.5g*10s*3板,盐酸二甲双胍缓释片, ￥5.1,,,效期：2022年09月
安徽省双科药业有限公司,5ml,苄达赖氨酸滴眼液, ￥8.5,,,效期：2021年11月
新乡华青药业有限公司,2g,盐酸金霉素眼膏, ￥3.68,,,效期：2021年10月
河南中杰药业有限公司,10g*4袋,齿痛消炎灵颗粒(无糖), ￥7.65,,,效期：2022年01月
上海中华药业南通有限公司,3g/小盒*20小盒/盒,清凉油(龙虎), ￥0.85,,,效期：2023年02月
北京长城制药有限公司,6g*6袋,小儿清肺化痰颗粒, ￥5.7,,,效期：2021年10月
江西兴鹏实业有限公司,8g/条*20条/盒,山楂开味清清宝, ￥6.8,,,效期：2022年03月
北京泰德制药股份有限公司,40ug*10片,贝前列素钠片, ￥52.8,,,效期：2022年10月
通化颐生药业股份有限公司,24片,化痰平喘片(颐君), ￥1.43,,,效期：2022年11月
广州白云山医药集团股份有限公司白云山制药总厂,0.25g*10粒*5板/盒,F阿莫西林胶囊, ￥8.8,,,效期：2021年10月
国药集团致君(深圳)坪山制药有限公司,0.1g*12片,双氯芬酸钠缓释片(迪根), ￥3.49,,,效期：2022年11月
广西玉林制药集团有限责任公司,0.5g*30粒,湿毒清胶囊, ￥18.5,,,效期：2022年05月
广西金页制药有限公司,100片,咳特灵片, ￥2.85,,,效期：2021年11月
江西心正药业有限责任公司,12g*10袋/盒,感冒清热颗粒, ￥3.8,,,效期：2021年12月
双鹤药业（海南）有限责任公司,10mg*14片,雷贝拉唑钠肠溶片, ￥26.5,,,效期：2021年07月
浙江得恩德制药股份有限公司,5mg*7片*4板,苯磺酸氨氯地平片, ￥7.2,,,效期：2021年09月
云南楚雄云中制药有限责任公司,2.5g*12袋,小儿麻甘颗粒, ￥2.7,,,效期：2022年09月
四川天府康达药业集团府庆制药有限公司,10ml*10支,藿香正气水, ￥1.8,,,效期：2022年01月
广州白云山天心制药股份有限公司,4mg*14片,坎地沙坦酯片(悉君宁), ￥6.6,,,效期：2021年11月
广西大海阳光药业有限公司,25mg*12片/板*1板/盒,盐酸地芬尼多片, ￥3.8,,,效期：2021年05月
海南日中天制药有限公司,0.1g*11粒,头孢克肟胶囊, ￥6.4,,,效期：2021年10月
莱阳市江波制药有限责任公司,50mg/袋*20袋/盒,盐酸伊托必利颗粒, ￥5.8,,,效期：2021年03月
地奥集团成都药业股份有限公司,（1%）45ml/瓶/盒,硝酸益康唑喷雾剂, ￥14.8,,,效期：2021年10月
华润双鹤利民药业(济南)有限公司,20mg*30片,硝苯地平缓释片（II）(贝奇灵（瓶装）), ￥5.5,,,效期：2021年10月
浙江海力生制药有限公司,0.2mg*10粒/盒,盐酸坦索罗辛缓释胶囊(齐索), ￥16.8,,,效期：2021年08月
山西宝泰药业有限责任公司,10mg*30片,多潘立酮片(宝泰理通), ￥2.99,,,效期：2022年11月
广东罗浮山国药股份有限公司,100片/瓶（薄膜衣）,咳特灵片, ￥4.5,,,效期：2022年04月
大连水产药业有限公司,100粒,六合维生素丸, ￥13.6,,,效期：2021年11月
四川光大制药有限公司,80ml,丽珠麝香舒活灵, ￥34,,,效期：2022年04月
长春人民药业集团有限公司,2g*18袋/盒,小儿肺咳颗粒, ￥22.1,,,效期：2022年11月
上海朝晖药业有限公司,20mg*100片/瓶,呋塞米片(速尿片), ￥9.6,,,效期：2021年10月
江西京通美联药业有限公司,4克*12袋,柴黄颗粒, ￥9.05,,,效期：2021年08月
福元药业有限公司,10g,红霉素软膏, ￥1.3,,,效期：2025年01月
涿州东乐制药有限公司,20mg*15片/板*2板/盒,盐酸曲美他嗪片, ￥8.3,,,效期：2022年10月
四川光大制药有限公司,9g*8袋,抗病毒颗粒, ￥12.35,,,效期：2022年01月
山西华元医药生物技术有限公司,5mg*10片*3板,苯磺酸氨氯地平片, ￥5.45,,,效期：2022年02月
正大青春宝药业有限公司,5g*6袋,尿感宁颗粒(无蔗糖), ￥6.85,,,效期：2022年02月
吉林天药本草堂制药有限公司,0.3g*12片*2板,炎热清片, ￥4.2,,,效期：2022年12月
广东省惠州市中药厂有限公司,12粒,莲芝消炎胶囊, ￥2.99,,,效期：2021年12月
山西云鹏制药有限公司,5mg*100片,甲氧氯普胺片(胃复安片), ￥9.43,,,效期：2022年06月
上海赛睿宿州药业有限公司,9g*10丸,大山楂丸, ￥1.53,,,效期：2021年12月
深圳市泰康制药有限公司,12粒*2板,丁细牙痛胶囊, ￥19.99,,,效期：2022年03月
青海鲁抗大地药业有限公司,0.35g*12粒/板/盒,润肺止咳胶囊, ￥4.3,,,效期：2022年02月
葵花药业集团（襄阳）隆中有限公司,5g*10袋,小儿柴桂退热颗粒, ￥18.24,,,效期：2022年09月
漳州水仙药业股份有限公司,9ml,风油精, ￥5.7,,,效期：2022年04月
