cj,gg,name,price,price2,price3,xq
上海中华药业南通有限公司,3g/小盒*20小盒/盒,清凉油(龙虎), ￥0.8,,,效期：2023年02月
广东罗浮山国药股份有限公司,0.36g：1.4mg*30粒/瓶,咳特灵胶囊, ￥3.8,,,效期：2022年04月
四川省伊洁士医疗科技有限公司,平面挂耳式*50只/包,一次性使用医用口罩, ￥1.7,,,效期：2020年11月
珠海润都制药股份有限公司,0.1g*12粒,双氯芬酸钠缓释胶囊, ￥6.8,,,效期：2022年01月
山西太原药业有限公司,0.1g*100片,氨茶碱片, ￥3.6,,,效期：2021年11月
四川天府康达药业集团府庆制药有限公司,10ml*10支,藿香正气水, ￥1.99,,,效期：2022年01月
山西华元医药生物技术有限公司,5mg*10片*3板,苯磺酸氨氯地平片, ￥5.6,,,效期：2021年12月
苏州太湖美药业有限公司,10ml,珍珠明目滴眼液, ￥3,,,效期：2022年01月
海南亚洲制药股份有限公司,10粒,复方氨酚烷胺胶囊(成人快克), ￥7.5,,,效期：2022年10月
九寨沟天然药业集团有限责任公司,10g*20小袋/袋,小柴胡颗粒, ￥7,,,效期：2022年06月
广东罗浮山国药股份有限公司,30粒,咳特灵胶囊, ￥4.45,,,效期：2021年10月
四川美大康药业股份有限公司,80mg*60片,格列齐特片, ￥8.1,,,效期：2023年10月
江苏亚邦强生药业有限公司,0.1g*6粒,头孢克肟胶囊, ￥2.8,,,效期：2021年05月
亚宝药业集团股份有限公司委托亚宝药业太原制药有限公司,0.5mg*20片/盒,甲钴胺片, ￥4.4,,,效期：2021年08月
重庆和平制药有限公司,0.386g*100包,阿咖酚散, ￥4.19,,,效期：2022年01月
广东一力集团制药股份有限公司,0.32g*100片,复方丹参片(薄膜衣片), ￥6.55,,,效期：2022年04月
山东淄博新达制药有限公司,0.375g*6片/盒,头孢克洛缓释片, ￥9.3,,,效期：2021年11月
海南宝元堂保健品有限公司,1.8cm*2贴,晕车贴, ￥6,,,效期：2022年10月
济南清华消毒用品厂,0.2g*20片,高锰酸钾消毒片, ￥1.6,,,效期：2021年08月
广西玉林制药集团有限责任公司,12ml,正骨水, ￥8,,,效期：2022年02月
新乡市新辉药业有限公司,8g：1%,红霉素软膏, ￥0.9,,,效期：2025年03月
通化万通药业股份有限公司,0.28g*24片,万通筋骨片, ￥13.5,,,效期：2021年04月
杭州华威药业股份有限公司,10ml*10支,高山红景天口服液, ￥22.5,,,效期：2021年12月
成都泰合健康科技集团股份有限公司华神制药厂,0.2g*9粒*2板,三七通舒胶囊, ￥38.5,,,效期：2021年09月
重庆华森制药股份有限公司,0.5g*12片/板*2板/盒,铝碳酸镁片(威地美), ￥16.5,,,效期：2023年07月
上海强生制药有限公司,35ml*30ml:0.6g,布洛芬混悬液(美林), ￥13.2,,,效期：2022年10月
九寨沟天然药业股份有限公司委托四川逢春制药有限公司,15g*20包,复方板蓝根颗粒, ￥5.99,,,效期：2022年08月
阿斯利康制药有限公司,2.5mg*10片,非洛地平缓释片(波依定), ￥21,,,效期：2022年10月
吉林敖东集团金海发药业股份有限公司,10ml*10支,脑心舒口服液, ￥6.5,,,效期：2022年11月
