cj,gg,name,price,price2,券后价,xq
江苏亚邦强生药业有限公司,规格：50mg*12片,头孢地尼分散片,9.5,,8.74,效期： 2021-10-31 
扬州市三药制药有限公司,规格：0.1mg:200揿,硫酸沙丁胺醇吸入气雾剂,13.8,,12.7,效期： 2021-12-31 
葵花药业集团(衡水)得菲尔有限公司        ,规格：50袋,复方氨酚那敏颗粒,11,,,效期： 2022-01-31 
广州莱泰制药有限公司委托广东宝丹制药有限公司,规格：5g*9袋,猴耳环消炎颗粒,,￥14.00,,效期： 2021-12-31 
AstraZeneca AB(分包装药品：阿斯利康制药有限公司),规格：47.5mg*7片,琥珀酸美托洛尔缓释片(YF),14.6,,13.44,效期： 2022-01-31 
海南普利制药股份有限公司,规格：5mg*8片,地氯雷他定分散片,11.6,,,效期： 2023-02-28 
浙江巨泰药业有限公司,规格：100mg*12片,头孢克肟分散片(双铝),6.2,,,效期： 2021-05-31 
亚宝药业集团股份有限公司,规格：1.6g*3贴,丁桂儿脐贴,18,,16.57,效期： 2021-09-30 
哈尔滨泰华药业股份有限公司,规格：100ml,右美沙芬愈创甘油醚糖浆,,￥11.50,,效期： 2022-01-31 
海南普利制药股份有限公司,规格：0.1g*6袋,阿奇霉素干混悬剂,5.6,,,效期： 2021-06-30 
广东一力罗定制药有限公司,规格：10g*20袋,板蓝根颗粒,7.5,,,效期： 2023-01-31 
西南药业股份有限公司,规格：100片,复方甘草片,7.5,,6.9,效期： 2021-06-30 
湖北凤凰白云山药业有限公司,规格：60ml,复方氢溴酸右美沙芬糖浆,14.8,,13.62,效期： 2021-11-26 
南昌立健药业有限公司                    ,规格：10ml*30袋,复方福尔可定口服溶液,33,,30.37,效期： 2021-11-30 
武汉太福制药有限公司,规格：120ml,强力枇杷露,5.5,,5.06,效期： 2021-11-30 
海南普利制药股份有限公司,规格：0.5g：2.5mg*6袋,地氯雷他定干混悬剂,9.8,,,效期： 2021-10-31 
漳州水仙药业股份有限公司,规格：3ml,风油精,,￥2.30,,效期： 2023-01-31 
四川省百草生物药业有限公司,规格：5mg*30片,苯磺酸氨氯地平片,4.8,,4.42,效期： 2022-01-31 
广西一力桂西制药有限公司,规格：10g*6袋,妇血康颗粒,12,,,效期： 2022-07-31 
新乡华青药业有限公司,规格：1％:8g,红霉素软膏,1.2,,1.1,效期： 2021-10-31 
吉林福康药业股份有限公司,规格：15粒*3板,胃康灵胶囊(江中),18,,16.57,效期： 2021-11-30 
先声药业有限公司,规格：0.125g*9袋,头孢丙烯颗粒,12.6,,11.6,效期： 2021-06-02 
山西宝泰药业有限责任公司,规格：10mg*30片,多潘立酮片,,￥3.80,,效期： 2023-01-31 
江西和明制药有限公司,规格：15g*15袋/包,蒲公英颗粒,,￥7.70,,效期： 2021-12-31 
威海人生药业有限公司,规格：5ml*10支,小儿解表口服液,12.7,,11.69,效期： 2020-10-31 
九寨沟天然药业股份有限公司（原九寨沟天然药业集团有限责任公司）,规格：15g*18袋,荆防颗粒,,￥7.50,,效期： 2021-12-31 
云南白药集团股份有限公司,规格：50g：60g*2瓶,云南白药气雾剂,,￥29.50,27.15,效期： 2022-10-31 
华润三九医药股份有限公司委托华润三九(枣庄）药业有限公司,规格：10克*9袋,感冒灵颗粒,,￥10.50,,效期： 2022-01-31 
广东一力罗定制药有限公司,规格：0.5g*30粒,脑络通胶囊,8.7,,,效期： 2022-10-31 
江苏亚邦爱普森药业有限公司,规格：2mg*100片,硫酸沙丁胺醇片,6.7,,6.17,效期： 2021-09-30 
吉林省吴太感康药业有限公司,规格：12片,复方氨酚烷胺片(感康),,￥11.60,,效期： 2022-10-31 
悦康药业集团股份有限公司,规格：20mg*14粒,立卫克/奥美拉唑肠溶胶囊,1.5,,1.38,效期： 2021-10-31 
江苏亚邦强生药业有限公司,规格：10g*1支,那氟沙星乳膏,6.8,,6.26,效期： 2021-11-30 
华中药业股份有限公司,规格：10mg*100片,维生素B1片,1.35,,1.24,效期： 2022-01-31 
马应龙药业集团股份有限公司,规格：10g,马应龙麝香痔疮膏,,￥7.80,,效期： 2022-12-31 
江中药业股份有限公司,规格：0.8g*32片,健胃消食片,7.2,,6.63,效期： 2021-08-31 
江苏亚邦强生药业有限公司,规格：10g(3%),阿昔洛韦乳膏,1.8,,1.66,效期： 2021-08-31 
浙江鼎泰药业股份有限公司,规格：7g,复方酮康唑软膏,2.35,,2.16,效期： 2022-01-31 
华中药业股份有限公司,规格：0.1g*100片,维生素C片,,￥0.98,,效期： 2021-05-31 
广州花城药业有限公司,规格：0.24g*100片,猴耳环消炎片(薄膜衣),,￥9.90,,效期： 2021-04-30 
云南白药集团无锡药业有限公司委托江苏南方卫材医药股份有限公司,规格：100片,云南白药创可贴(轻巧透气型),16.5,,15.19,效期： 2022-12-31 
江西南昌济生制药有限责任公司,规格：180ml,强力枇杷露(江中),,￥11.25,,效期： 2020-12-31 
湖南千金湘江药业股份有限公司,规格：25mg*30片,盐酸地芬尼多片,6.7,,6.17,效期： 2022-09-30 
桂林三金药业股份有限公司,规格：0.29g*54片,三金片,,￥21.00,,效期： 2021-07-11 
重庆迪康长江制药有限公司,规格：12粒*2板,人工牛黄甲硝唑胶囊(牙痛安),,￥2.50,,效期： 2022-10-24 
广西金嗓子有限责任公司,规格：2g*12片,金嗓子喉片,,￥7.80,,效期： 2022-12-31 
浙江昂利康制药股份有限公司,规格：0.1g*6粒,头孢克肟胶囊,,￥2.50,,效期： 2021-09-30 
四川依科制药有限公司,规格：0.1g*100片,维生素C片,1.2,,1.1,效期： 2022-02-28 
广州白云山光华制药股份有限公司,规格：12片,苯巴比妥东莨菪碱片,5.4,,4.97,效期： 2021-09-30 
